period,days,growth_model,ids_per_day,scenario,projected_ids,directed_pairs,edge_density,messages_per_pair_per_year,sats_per_delivery,annual_flow_sats,annual_flow_btc,annual_flow_usd,network_value_multiple,network_value_sats,network_value_btc,network_value_usd
now,0,recent_pace,13,conservative,94,8742,0.005,1,546,23865.66,0.00023866,19.30529275,5,119328.3,0.00119328,96.52646373
now,0,recent_pace,13,base_current_density,94,8742,0.01230769,4,680.13333333,292712.64492308,0.00292713,236.77967844,5,1463563.22461538,0.01463563,1183.8983922
now,0,recent_pace,13,paid_inbox_monthly,94,8742,0.05,12,1000,5245200,0.052452,4242.92148252,5,26226000,0.26226,21214.6074126
6_months,183,recent_pace,13,conservative,2473,6113256,0.005,1,546,16689188.88,0.16689189,13500.13689178,5,83445944.4,0.83445944,67500.68445892
6_months,183,recent_pace,13,base_current_density,2473,6113256,0.01230769,4,680.13333333,204693128.90092307,2.04693129,165579.3628342,5,1023465644.5046153,10.23465645,827896.81417102
6_months,183,recent_pace,13,paid_inbox_monthly,2473,6113256,0.05,12,1000,3667953600,36.679536,2967063.05313936,5,18339768000,183.39768,14835315.2656968
12_months,365,recent_pace,13,conservative,4839,23411082,0.005,1,546,63912253.86,0.63912254,51699.58722239,5,319561269.3,3.19561269,258497.93611194
12_months,365,recent_pace,13,base_current_density,4839,23411082,0.01230769,4,680.13333333,783884664.0049231,7.83884664,634096.14137201,5,3919423320.0246153,39.1942332,3170480.70686004
12_months,365,recent_pace,13,paid_inbox_monthly,4839,23411082,0.05,12,1000,14046649200,140.466492,11362546.64228292,5,70233246000,702.33246,56812733.21141461
18_months,548,recent_pace,13,conservative,7218,52092306,0.005,1,546,142211995.38,1.42211995,115037.43046401,5,711059976.9,7.11059977,575187.15232006
18_months,548,recent_pace,13,base_current_density,7218,52092306,0.01230769,4,680.13333333,1744232060.1009228,17.4423206,1410935.65131974,5,8721160300.504614,87.21160301,7054678.25659872
18_months,548,recent_pace,13,paid_inbox_monthly,7218,52092306,0.05,12,1000,31255383600,312.553836,25282951.75033236,5,156276918000,1562.76918,126414758.75166179
24_months,730,recent_pace,13,conservative,9584,91843472,0.005,1,546,250732678.56,2.50732679,202821.44975063,5,1253663392.8,12.53663393,1014107.24875315
24_months,730,recent_pace,13,base_current_density,9584,91843472,0.01230769,4,680.13333333,3075239717.23159,30.75239717,2487607.84338836,5,15376198586.15795,153.76198586,12438039.21694181
24_months,730,recent_pace,13,paid_inbox_monthly,9584,91843472,0.05,12,1000,55106083200,551.060832,44576142.80233632,5,275530416000,2755.30416,222880714.0116816
now,0,launch_average,25.1,conservative,94,8742,0.005,1,546,23865.66,0.00023866,19.30529275,5,119328.3,0.00119328,96.52646373
now,0,launch_average,25.1,base_current_density,94,8742,0.01230769,4,680.13333333,292712.64492308,0.00292713,236.77967844,5,1463563.22461538,0.01463563,1183.8983922
now,0,launch_average,25.1,paid_inbox_monthly,94,8742,0.05,12,1000,5245200,0.052452,4242.92148252,5,26226000,0.26226,21214.6074126
6_months,183,launch_average,25.1,conservative,4687,21963282,0.005,1,546,59959759.86,0.5995976,48502.35514313,5,299798799.3,2.99798799,242511.77571564
6_months,183,launch_average,25.1,base_current_density,4687,21963282,0.01230769,4,680.13333333,735407271.2664615,7.35407271,594882.04637724,5,3677036356.3323073,36.77036356,2974410.23188618
6_months,183,launch_average,25.1,paid_inbox_monthly,4687,21963282,0.05,12,1000,13177969200,131.779692,10659858.27321492,5,65889846000,658.89846,53299291.36607461
12_months,365,launch_average,25.1,conservative,9256,85664280,0.005,1,546,233863484.4,2.33863484,189175.70386977,5,1169317422,11.69317422,945878.51934887
12_months,365,launch_average,25.1,base_current_density,9256,85664280,0.01230769,4,680.13333333,2868338821.12,28.68338821,2320242.58432017,5,14341694105.6,143.41694106,11601212.92160084
12_months,365,launch_average,25.1,paid_inbox_monthly,9256,85664280,0.05,12,1000,51398568000,513.98568,41577077.7735768,5,256992840000,2569.9284,207885388.86788398
18_months,548,launch_average,25.1,conservative,13849,191780952,0.005,1,546,523561998.96,5.23561999,423517.20674493,5,2617809994.8,26.17809995,2117586.03372464
18_months,548,launch_average,25.1,base_current_density,13849,191780952,0.01230769,4,680.13333333,6421495047.561846,64.21495048,5194444.30854799,5,32107475237.809227,321.07475238,25972221.54273997
18_months,548,launch_average,25.1,paid_inbox_monthly,13849,191780952,0.05,12,1000,115068571200,1150.685712,93080704.7791051,5,575342856000,5753.42856,465403523.89552546
24_months,730,launch_average,25.1,conservative,18417,339167472,0.005,1,546,925927198.56,9.25927199,748996.49241588,5,4629635992.8,46.29635993,3744982.46207941
24_months,730,launch_average,25.1,base_current_density,18417,339167472,0.01230769,4,680.13333333,11356509700.411076,113.565097,9186452.179959,5,56782548502.055374,567.82548502,45932260.89979497
24_months,730,launch_average,25.1,paid_inbox_monthly,18417,339167472,0.05,12,1000,203500483200,2035.004832,164614613.71777633,5,1017502416000,10175.02416,823073068.5888816
