period,days,model,ids_per_day,projected_ids,n2,modeled_sats,modeled_btc,modeled_usd
now,0,recent_unique,13,94,8836,2374139,0.02374139,1920.19
now,0,recent_id_weighted,13,94,8836,6416183,0.06416183,5189.37
now,0,launch_average_unique,25.1,94,8836,2374139,0.02374139,1920.19
now,0,launch_average_id_weighted,25.1,94,8836,6416183,0.06416183,5189.37
6_months,183,recent_unique,13,2473,6115729,1643230000,16.4323,1329035
6_months,183,recent_id_weighted,13,2473,6115729,4440880000,44.4088,3591756
6_months,183,launch_average_unique,25.1,4687,21967969,5902560000,59.0256,4773951
6_months,183,launch_average_id_weighted,25.1,4687,21967969,15951850000,159.5185,12901748
12_months,365,recent_unique,13,4839,23415921,6291610000,62.9161,5088611
12_months,365,recent_id_weighted,13,4839,23415921,17003260000,170.0326,13752127
12_months,365,launch_average_unique,25.1,9256,85673536,23019570000,230.1957,18618073
12_months,365,launch_average_id_weighted,25.1,9256,85673536,62211080000,622.1108,50315909
18_months,548,recent_unique,13,7218,52099524,13998590000,139.9859,11321965
18_months,548,recent_id_weighted,13,7218,52099524,37831610000,378.3161,30597954
18_months,548,launch_average_unique,25.1,13849,191794801,51533220000,515.3322,41679727
18_months,548,launch_average_id_weighted,25.1,13849,191794801,139270090000,1392.7009,112640732
24_months,730,recent_unique,13,9584,91853056,24679940000,246.7994,19960970
24_months,730,recent_id_weighted,13,9584,91853056,66698280000,666.9828,53945130
24_months,730,launch_average_unique,25.1,18417,339185889,91135630000,911.3563,73709898
24_months,730,launch_average_id_weighted,25.1,18417,339185889,246296820000,2462.9682,199203246
